feature,amplitude,percent_beyond_1_std,maximum,max_slope,median,median_absolute_deviation,percent_close_to_median,minimum,skew,std,weighted_average
channel,0,0,0,0,0,0,0,0,0,0,0
0,143.5,0.327312668,141,11107.79661,-4,28,0.505003661,-146,0.032804996,40.4110004,-4.13204784
1,211.5,0.290212351,169,20653.55932,-51,32,0.640468636,-254,-0.092714992,48.81266768,-52.44471565
2,165,0.302660483,184,13537.62712,13,31,0.515987308,-146,-0.004099908,47.14478921,12.70515011
3,171.5,0.300951916,162,17008.81356,-4,31,0.541127654,-181,0.063677513,47.07231638,-3.992433488
4,170,0.305101294,152,13016.94915,-18,29,0.566268001,-188,0.142753373,44.91095792,-17.99926776
5,151.5,0.308762509,123,10934.23729,-28,29,0.524774225,-180,0.002501182,45.0227147,-27.82304125
6,162,0.308518428,147,12843.38983,-13,30,0.531852575,-177,0.003178683,46.25943284,-13.3346351
7,126.5,0.324627776,129,8851.525424,-5,22,0.565779839,-124,-0.023596654,32.34212408,-5.653893093
8,105,0.324139614,117,7463.050847,9,21,0.491091042,-93,-0.002426032,31.47824769,8.200878692
9,156,0.302172321,122,10934.23729,-29,28,0.546741518,-190,0.202650287,43.70031442,-27.36953869
10,149.5,0.310715157,136,8677.966102,-13,26,0.564315353,-163,-0.120189813,38.41654437,-13.60019526
11,138.5,0.295582133,115,13537.62712,-14,25,0.528435441,-162,-0.091485339,39.59358408,-14.40834757
12,109,0.312911887,123,9025.084746,8,22,0.496948987,-95,0.005112453,32.61289269,7.406394923
13,155.5,0.30192824,155,8330.847458,5,27,0.559921894,-156,0.055195041,42.43354648,6.127654381
14,102,0.308518428,87,7636.610169,-4,18,0.555528435,-117,-0.281320012,27.46339008,-5.324627776
15,184,0.300951916,183,19265.08475,5,32,0.569685135,-185,-0.195766772,47.12323009,5.012692214
16,105,0.30192824,117,9892.881356,9,20,0.506468147,-93,0.050575277,29.83509119,8.664388577
17,195.5,0.295093971,204,13364.0678,11,34,0.56602392,-187,0.077503252,53.68934988,12.63265804
18,104,0.308762509,109,9372.20339,8,20,0.50939712,-99,-0.047926332,31.21691249,7.651208201
19,91,0.317061264,93,6942.372881,-2,18,0.518428118,-89,-0.122825302,26.52945529,-2.070295338
20,112,0.313888211,109,14231.86441,-6,20,0.564559434,-115,0.197725238,29.0752522,-5.895289236
21,104.5,0.303392726,99,19785.76271,-6,19,0.530144008,-110,0.009343865,29.42665799,-5.378569685
22,190.5,0.29484989,158,12843.38983,6,32,0.586526727,-223,-0.184458568,50.19253373,5.04954845
23,132,0.314376373,117,16488.13559,1,24,0.548206004,-147,0.054414347,36.52923349,1.684403222
24,159.5,0.310959238,152,13016.94915,6,34,0.463509885,-167,-0.090199156,50.97521413,5.59189651
25,253,0.308518428,220,23430.50847,13,37,0.642909446,-286,-0.117086878,55.70456474,15.00170857
26,130.5,0.309494752,129,14752.54237,8,26,0.513546497,-132,0.008883433,38.88397266,8.1698804
27,117.5,0.311935563,67,9198.644068,-49,23,0.509885282,-168,-0.073167643,33.84002247,-49.05467415
28,185,0.30192824,168,15273.22034,1,28,0.625823773,-202,0.065312783,42.54621643,2.280937271
29,218,0.304369051,294,22562.71186,57,35,0.605809129,-142,0.096038555,52.4526601,56.71857457
30,110.5,0.296314376,129,6421.694915,8,19,0.578716134,-92,0.077902209,29.04454579,8.029777886
31,91,0.300951916,91,8157.288136,-3,18,0.517207713,-91,-0.026651738,26.65915099,-2.49768123
32,172,0.308030266,254,21521.35593,56,29,0.571393703,-90,0.128121821,44.21450104,57.54527703
33,151.5,0.298267025,137,15446.77966,-29,28,0.550890896,-166,0.194795369,43.0485582,-28.06297291
34,192.5,0.307053942,205,9545.762712,1,36,0.52599463,-180,0.194484838,55.73797998,3.09665609
35,185.5,0.312667806,175,10934.23729,7,32,0.567976568,-196,-0.173733339,48.74816362,5.362704418
36,152,0.321210642,138,11802.0339,6,31,0.498901635,-166,-0.128394347,45.62340212,5.046131316
37,77.5,0.30656578,3,6942.372881,-75,16,0.493043691,-152,0.076753744,23.11444351,-75.10373444
38,210,0.297534782,196,23604.0678,3,36,0.55894557,-224,-0.148883633,55.89339485,1.284110325
39,131,0.319746156,177,14405.42373,56,23,0.560410056,-85,0.025781373,33.91797272,56.30290456
40,158.5,0.32316329,167,15793.89831,4,31,0.512082011,-150,0.01279665,47.13580647,3.493531853
41,85.5,0.324871857,14,8157.288136,-76,16,0.525262387,-157,0.086002353,23.88019422,-75.36563339
42,119,0.310959238,123,9198.644068,2,21,0.555284354,-115,0.126217932,31.42730882,2.738345131
43,162.5,0.312423725,156,12669.83051,4,29,0.543080303,-169,-0.137029312,44.24610661,3.562118623
44,161,0.310471076,166,10240,3,27,0.581401025,-156,0.067990173,40.6743354,2.911886746
45,156,0.290944594,149,10934.23729,-19,25,0.607273615,-163,0.050949045,39.69876667,-18.81352209
46,157,0.31120332,92,10413.55932,-50,29,0.535513791,-222,-0.090442466,42.78661797,-50.50622407
47,170,0.298755187,140,26728.13559,7,28,0.579448377,-200,-0.279293142,43.6775256,4.691237491
48,116.5,0.309494752,178,17355.9322,56,22,0.536246034,-55,0.084113503,32.1578253,56.62216256
49,184.5,0.31364413,163,12669.83051,4,34,0.529411765,-206,-0.055684672,49.88553601,3.820356358
50,152,0.300463754,161,16314.57627,2,25,0.579692458,-143,0.042278635,39.77349084,3.436172809
51,158,0.323407371,184,18050.16949,8,25,0.593360996,-132,0.102407054,38.86765553,8.002928972
52,110,0.317061264,115,7636.610169,6,21,0.51403466,-105,-0.148304825,30.76762121,5.568952892
53,188.5,0.319746156,144,23083.38983,-18,35,0.524041982,-233,-0.072821031,53.03406381,-18.19257994
54,166.5,0.308762509,174,17182.37288,-13,30,0.545032951,-159,-0.067171065,45.13543706,-14.19770564
55,165.5,0.31120332,169,14926.10169,6,33,0.501830608,-162,-0.02955658,49.09179606,4.959238467
56,176.5,0.305101294,169,14752.54237,1,31,0.54722968,-184,0.073890001,49.80099482,1.61093483
57,141.5,0.32780083,126,12843.38983,1,27,0.523309739,-157,-0.107936573,39.89843661,1.022943617
58,138.5,0.310959238,135,8504.40678,-6,24,0.559677813,-142,-0.026749705,36.99105356,-6.216499878
59,112.5,0.311935563,69,9025.084746,-53,22,0.51183793,-156,0.104081966,33.11709799,-52.40175738
60,75.5,0.305345375,-3,6074.576271,-75,15,0.516963632,-154,-0.071865138,22.60893242,-75.50378326
